iter	Passed	Remaining
1127	22301	373108
1128	22319	373061
1129	22339	373057
1130	22364	373112
1131	22385	373111
1132	22403	373074
1133	22422	373037
1134	22441	372998
1135	22458	372942
1136	22476	372894
1137	22495	372850
1138	22513	372801
1139	22531	372765
1140	22550	372732
1141	22570	372702
1142	22592	372727
1143	22609	372664
1144	22632	372691
1145	22650	372649
1146	22670	372622
1147	22688	372578
1148	22707	372548
1149	22725	372502
1150	22744	372476
1151	22764	372458
1152	22784	372432
1153	22806	372449
1154	22824	372407
1155	22845	372404
1156	22863	372356
1157	22882	372332
1158	22900	372271
1159	22921	372277
1160	22941	372253
1161	22959	372211
1162	22978	372185
1163	23003	372245
1164	23026	372279
1165	23046	372265
1166	23063	372201
1167	23081	372147
1168	23098	372080
1169	23114	372010
1170	23132	371959
1171	23154	371975
1172	23173	371942
1173	23192	371915
1174	23213	371908
1175	23232	371880
1176	23250	371837
1177	23270	371819
1178	23291	371809
1179	23308	371754
1180	23327	371714
1181	23345	371673
1182	23365	371657
1183	23388	371681
1184	23407	371654
1185	23428	371648
1186	23450	371679
1187	23469	371640
1188	23488	371611
1189	23507	371583
1190	23525	371525
1191	23541	371444
1192	23565	371497
1193	23587	371518
1194	23603	371433
1195	23626	371461
1196	23647	371458
1197	23664	371402
1198	23682	371349
1199	23700	371303
1200	23720	371290
1201	23740	371270
1202	23760	371258
1203	23780	371237
1204	23800	371221
1205	23822	371247
1206	23844	371253
1207	23864	371238
1208	23885	371246
1209	23904	371216
1210	23925	371215
1211	23948	371236
1212	23967	371216
1213	23987	371189
1214	24007	371170
1215	24030	371213
1216	24054	371246
1217	24070	371182
1218	24091	371170
1219	24109	371132
1220	24129	371107
1221	24149	371093
1222	24167	371049
1223	24185	371000
1224	24204	370965
1225	24226	370988
1226	24249	371015
1227	24268	370978
1228	24285	370918
1229	24305	370912
1230	24324	370868
1231	24341	370816
1232	24361	370791
1233	24379	370757
1234	24397	370710
1235	24418	370698
1236	24439	370696
1237	24459	370683
1238	24477	370642
1239	24495	370595
1240	24515	370581
1241	24532	370513
1242	24551	370490
1243	24571	370461
1244	24587	370399
1245	24605	370352
1246	24627	370361
1247	24650	370393
1248	24675	370452
1249	24693	370397
1250	24714	370395
1251	24732	370359
1252	24750	370316
1253	24772	370317
1254	24788	370252
1255	24806	370206
1256	24829	370236
1257	24849	370218
1258	24872	370236
1259	24892	370221
1260	24909	370160
1261	24926	370105
1262	24944	370062
1263	24963	370030
1264	24984	370021
1265	24999	369932
1266	25020	369934
1267	25040	369922
1268	25059	369886
1269	25079	369868
1270	25096	369813
1271	25117	369817
1272	25137	369790
1273	25154	369737
1274	25175	369727
1275	25195	369718
1276	25212	369657
1277	25239	369748
1278	25261	369762
1279	25284	369781
1280	25300	369717
1281	25317	369647
1282	25337	369629
1283	25353	369566
1284	25372	369529
1285	25390	369486
1286	25407	369427
1287	25430	369448
1288	25451	369448
1289	25471	369433
1290	25491	369417
1291	25511	369409
1292	25530	369378
1293	25550	369354
1294	25571	369357
1295	25591	369336
1296	25609	369298
1297	25631	369305
1298	25651	369292
1299	25672	369283
1300	25692	369274
1301	25711	369237
1302	25729	369195
1303	25747	369154
1304	25768	369144
1305	25790	369159
1306	25807	369098
1307	25825	369066
1308	25846	369058
1309	25867	369050
1310	25885	369013
1311	25904	368984
1312	25921	368916
1313	25939	368882
1314	25955	368811
1315	25978	368826
1316	25997	368802
1317	26016	368765
